id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,frequence_deplacement_encoded
471,32,F,2370,Marié(e),Consulting,Consultant,1,8,8,0,3,3,1,2,3,3,3,Non,13,Non,1,4,2,3,Transformation Digitale,Occasionnel,0,7,1.0
473,48,F,12504,Marié(e),Commercial,Senior Manager,3,15,0,0,1,3,3,3,2,1,4,Non,21,Non,1,3,29,1,Transformation Digitale,Occasionnel,0,0,1.0
474,37,M,5974,Divorcé(e),Consulting,Assistant de Direction,4,13,7,7,3,4,2,1,1,3,3,Oui,13,Non,2,2,6,3,Transformation Digitale,Occasionnel,6,7,1.0
475,30,F,4736,Marié(e),Commercial,Cadre Commercial,7,4,2,2,4,3,2,3,2,4,3,Oui,12,Non,1,2,25,2,Entrepreunariat,Aucun,2,2,0.0
476,26,M,5296,Marié(e),Commercial,Cadre Commercial,1,8,8,7,3,3,2,3,2,3,3,Non,17,Non,1,3,1,3,Infra & Cloud,Occasionnel,7,7,1.0
477,42,M,6781,Célibataire,Consulting,Manager,3,14,1,0,1,2,2,4,2,3,4,Non,23,Non,0,6,2,4,Autre,Occasionnel,0,0,1.0
478,21,F,2174,Célibataire,Commercial,Représentant Commercial,1,3,3,2,1,2,1,2,3,3,3,Oui,11,Oui,0,3,1,1,Entrepreunariat,Frequent,1,2,2.0
479,36,F,6653,Célibataire,Commercial,Cadre Commercial,4,7,1,0,4,3,2,4,2,3,3,Non,15,Non,0,6,1,5,Transformation Digitale,Aucun,0,0,0.0
481,36,M,9699,Marié(e),Commercial,Cadre Commercial,4,16,13,9,1,2,3,4,1,3,3,Non,11,Non,1,2,3,4,Transformation Digitale,Frequent,1,12,2.0
482,57,M,6755,Marié(e),Consulting,Manager,2,15,3,2,4,3,2,3,3,3,3,Non,11,Non,0,2,1,4,Transformation Digitale,Occasionnel,1,2,1.0
483,40,F,2213,Marié(e),Consulting,Consultant,3,10,7,7,4,4,1,3,3,3,3,Oui,13,Non,1,3,10,4,Infra & Cloud,Occasionnel,1,7,1.0
484,21,M,2610,Célibataire,Commercial,Représentant Commercial,1,3,3,2,1,3,1,4,3,2,4,Non,24,Non,0,3,9,2,Transformation Digitale,Aucun,2,2,0.0
485,33,F,2851,Célibataire,Commercial,Représentant Commercial,1,1,1,0,4,3,1,3,2,3,3,Oui,13,Oui,0,2,5,3,Marketing,Occasionnel,0,0,1.0
486,37,F,3452,Marié(e),Consulting,Consultant,6,17,5,4,3,3,1,1,2,3,4,Non,20,Non,1,3,10,3,Transformation Digitale,Occasionnel,0,3,1.0
487,46,F,5258,Marié(e),Consulting,Tech Lead,2,7,1,0,3,3,2,3,3,4,3,Non,14,Non,0,2,7,4,Transformation Digitale,Aucun,0,0,0.0
488,41,M,9355,Célibataire,Commercial,Cadre Commercial,1,8,8,7,1,3,2,2,3,3,3,Non,18,Oui,0,5,4,3,Marketing,Frequent,7,7,2.0
491,50,M,10496,Célibataire,Consulting,Manager,6,20,4,3,4,2,3,4,4,3,3,Non,15,Non,0,2,10,3,Entrepreunariat,Occasionnel,1,3,1.0
492,40,M,6380,Marié(e),Commercial,Cadre Commercial,2,8,6,4,3,2,2,3,1,3,3,Oui,12,Oui,2,6,22,2,Marketing,Occasionnel,1,0,1.0
493,31,M,2657,Célibataire,Consulting,Assistant de Direction,0,3,2,2,3,2,1,2,4,3,3,Oui,16,Non,0,5,9,4,Infra & Cloud,Occasionnel,2,2,1.0
494,21,F,2716,Célibataire,Commercial,Représentant Commercial,1,1,1,0,3,4,1,2,4,3,3,Non,15,Oui,0,0,12,3,Infra & Cloud,Occasionnel,0,0,1.0
495,29,M,2201,Célibataire,Consulting,Assistant de Direction,9,6,3,2,4,3,1,4,4,3,3,Non,16,Non,0,4,23,3,Infra & Cloud,Occasionnel,1,2,1.0
496,35,M,6540,Célibataire,Consulting,Manager,9,10,1,1,3,2,2,2,3,3,3,Non,19,Non,0,5,9,4,Infra & Cloud,Occasionnel,0,0,1.0
497,27,M,3816,Divorcé(e),Consulting,Consultant,1,5,5,2,4,3,1,2,2,3,3,Non,11,Non,1,2,1,2,Transformation Digitale,Occasionnel,0,4,1.0
498,28,M,5253,Célibataire,Commercial,Cadre Commercial,1,7,7,5,2,3,2,4,4,3,3,Non,16,Non,0,1,9,4,Infra & Cloud,Occasionnel,0,7,1.0
499,49,M,10965,Célibataire,Consulting,Manager,8,26,5,2,2,2,3,3,3,3,4,Non,24,Non,0,2,7,3,Autre,Occasionnel,0,0,1.0
500,51,F,4936,Marié(e),Commercial,Cadre Commercial,4,18,7,7,3,3,2,4,3,2,3,Non,11,Non,1,2,14,2,Infra & Cloud,Occasionnel,0,7,1.0
501,36,F,2543,Marié(e),Consulting,Assistant de Direction,4,6,2,2,4,3,1,3,2,3,3,Non,13,Non,1,3,2,3,Infra & Cloud,Occasionnel,2,2,1.0
502,34,M,5304,Célibataire,Commercial,Cadre Commercial,8,9,5,2,1,4,2,4,2,2,3,Oui,13,Oui,0,3,19,3,Marketing,Aucun,0,4,0.0
505,55,F,16659,Célibataire,Consulting,Senior Manager,2,30,5,4,3,3,4,4,3,3,3,Oui,13,Non,0,2,2,3,Infra & Cloud,Occasionnel,1,2,1.0
507,24,F,4260,Divorcé(e),Commercial,Cadre Commercial,1,5,5,2,4,3,2,3,4,4,3,Oui,12,Non,1,2,10,4,Marketing,Occasionnel,0,3,1.0
508,30,M,2476,Marié(e),Commercial,Représentant Commercial,1,1,1,0,3,3,1,2,1,3,3,Non,18,Non,1,3,2,1,Entrepreunariat,Occasionnel,0,0,1.0
510,26,M,3102,Célibataire,Consulting,Assistant de Direction,0,7,6,4,3,3,1,1,3,3,4,Non,22,Oui,0,2,3,1,Entrepreunariat,Frequent,0,4,2.0
511,22,F,2244,Marié(e),Consulting,Assistant de Direction,1,2,2,1,1,3,1,2,4,3,3,Non,13,Non,1,1,11,3,Transformation Digitale,Occasionnel,1,2,1.0
513,36,M,7596,Marié(e),Commercial,Cadre Commercial,1,10,10,9,2,2,3,3,2,3,3,Non,13,Non,2,2,2,2,Transformation Digitale,Occasionnel,9,0,1.0
514,30,M,2285,Célibataire,Consulting,Assistant de Direction,9,3,1,0,3,3,1,4,3,3,4,Oui,23,Oui,0,4,4,3,Entrepreunariat,Frequent,0,0,2.0
515,37,F,3034,Divorcé(e),Consulting,Consultant,1,18,18,7,4,3,1,1,3,2,3,Non,12,Non,1,2,14,3,Infra & Cloud,Occasionnel,12,17,1.0
516,40,F,5715,Divorcé(e),Commercial,Cadre Commercial,7,8,5,4,4,3,2,2,3,3,3,Non,12,Non,2,5,2,2,Marketing,Occasionnel,1,3,1.0
517,42,F,2576,Divorcé(e),Consulting,Consultant,3,8,5,2,2,3,1,1,2,3,3,Non,16,Non,1,5,1,4,Infra & Cloud,Occasionnel,1,2,1.0
518,37,M,4197,Célibataire,Consulting,Tech Lead,2,18,1,0,3,3,2,2,4,2,3,Oui,12,Non,0,2,10,4,Infra & Cloud,Occasionnel,0,1,1.0
520,43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,25,25,10,1,2,4,2,3,3,3,Non,11,Non,1,3,12,3,Infra & Cloud,Occasionnel,3,9,1.0
521,40,F,3448,Marié(e),Consulting,Consultant,6,20,1,0,2,2,2,3,2,3,4,Non,22,Non,1,3,2,3,Transformation Digitale,Occasionnel,0,0,1.0
522,54,M,19406,Marié(e),Consulting,Directeur Technique,4,24,4,2,1,3,5,1,3,2,3,Non,11,Non,1,4,5,2,Transformation Digitale,Occasionnel,1,2,1.0
523,34,F,6538,Marié(e),Commercial,Cadre Commercial,9,6,3,2,3,3,2,3,1,3,3,Non,15,Non,1,3,4,4,Marketing,Aucun,1,2,0.0
524,31,F,4306,Marié(e),Consulting,Tech Lead,1,13,13,10,2,3,2,1,2,1,3,Non,12,Non,1,5,7,2,Transformation Digitale,Occasionnel,3,12,1.0
525,43,M,2258,Marié(e),Consulting,Consultant,7,8,3,2,4,3,1,4,1,3,4,Non,20,Non,1,1,21,3,Transformation Digitale,Frequent,1,2,2.0
526,43,F,4522,Divorcé(e),Consulting,Manager,4,8,5,2,3,3,2,3,4,3,3,Oui,14,Non,0,3,8,4,Autre,Occasionnel,0,2,1.0
527,25,F,4487,Célibataire,Commercial,Cadre Commercial,1,5,5,4,2,2,2,4,2,3,3,Oui,11,Non,0,3,4,2,Infra & Cloud,Occasionnel,1,3,1.0
529,37,F,4449,Marié(e),Consulting,Assistant de Direction,3,15,13,11,2,3,2,3,1,3,3,Oui,15,Non,2,2,25,5,Transformation Digitale,Aucun,10,7,0.0
530,31,M,2218,Marié(e),Consulting,Consultant,1,4,4,2,4,2,1,1,3,3,3,Non,12,Non,1,3,1,2,Infra & Cloud,Occasionnel,3,2,1.0
531,39,M,19197,Divorcé(e),Consulting,Senior Manager,1,21,21,8,2,3,5,3,3,3,3,Oui,14,Non,1,3,1,1,Infra & Cloud,Frequent,1,6,2.0
532,56,F,13212,Marié(e),Commercial,Cadre Commercial,9,36,7,7,3,4,4,1,4,2,3,Non,11,Non,3,0,6,3,Infra & Cloud,Frequent,7,7,2.0
533,30,F,6577,Célibataire,Commercial,Cadre Commercial,0,6,5,4,2,3,2,3,2,3,3,Non,11,Non,0,6,12,3,Entrepreunariat,Occasionnel,4,4,1.0
534,41,M,8392,Marié(e),Commercial,Cadre Commercial,1,10,10,7,2,4,3,1,3,3,3,Non,16,Non,1,2,1,3,Marketing,Occasionnel,0,7,1.0
536,28,M,4558,Divorcé(e),Consulting,Consultant,1,10,10,0,3,3,2,1,4,3,3,Non,12,Non,1,2,17,2,Transformation Digitale,Occasionnel,1,8,1.0
538,25,M,4031,Marié(e),Consulting,Consultant,5,6,2,2,1,3,1,1,3,3,3,Non,13,Oui,1,5,3,3,Transformation Digitale,Occasionnel,0,2,1.0
543,52,M,7969,Marié(e),Consulting,Tech Lead,2,28,5,4,4,2,3,3,3,3,3,Oui,14,Non,0,4,3,3,Transformation Digitale,Occasionnel,0,4,1.0
544,45,M,2654,Marié(e),Consulting,Assistant de Direction,3,8,2,2,1,3,1,4,4,2,4,Non,21,Non,2,3,10,2,Infra & Cloud,Occasionnel,0,2,1.0
546,52,F,16555,Marié(e),Consulting,Senior Manager,2,31,5,2,4,3,4,4,4,1,3,Non,13,Non,0,2,4,2,Infra & Cloud,Occasionnel,1,4,1.0
547,42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,19,5,4,1,3,2,3,2,3,3,Non,11,Non,1,3,29,2,Infra & Cloud,Frequent,0,2,2.0
548,30,F,6091,Célibataire,Consulting,Tech Lead,2,11,5,4,3,1,2,4,3,3,4,Non,20,Non,0,2,2,3,Infra & Cloud,Occasionnel,0,2,1.0
549,60,F,19566,Marié(e),Consulting,Senior Manager,5,33,29,8,1,3,5,1,4,1,3,Non,11,Non,0,5,7,3,Infra & Cloud,Occasionnel,11,10,1.0
550,46,F,4810,Divorcé(e),Consulting,Tech Lead,2,19,10,7,3,3,2,3,3,2,3,Non,14,Non,1,5,18,3,Transformation Digitale,Occasionnel,0,8,1.0
551,42,F,4523,Marié(e),Consulting,Manager,0,7,6,5,4,2,2,4,4,4,3,Non,11,Non,3,4,28,4,Entrepreunariat,Frequent,0,4,2.0
554,24,F,3202,Célibataire,Commercial,Représentant Commercial,1,6,5,3,1,3,1,2,2,3,3,Oui,16,Oui,0,4,1,1,Entrepreunariat,Occasionnel,1,4,1.0
555,34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,3,2,2,4,1,1,3,4,2,3,Non,16,Oui,1,3,6,2,Marketing,Frequent,1,0,2.0
556,38,M,1702,Marié(e),Consulting,Consultant,1,1,1,0,4,3,1,4,3,3,4,Oui,23,Non,1,3,2,2,Infra & Cloud,Frequent,0,0,2.0
558,40,F,18041,Marié(e),Commercial,Senior Manager,0,21,20,15,3,3,5,3,4,3,3,Non,14,Non,0,2,2,4,Infra & Cloud,Occasionnel,1,12,1.0
560,26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,3,3,2,1,3,1,4,2,1,4,Non,22,Non,2,3,23,3,Infra & Cloud,Occasionnel,0,2,1.0
562,30,M,2097,Marié(e),Consulting,Consultant,4,9,5,3,3,3,1,4,3,1,3,Non,15,Non,1,3,3,3,Infra & Cloud,Aucun,1,4,0.0
564,29,M,11935,Marié(e),Consulting,Directeur Technique,1,10,10,2,2,2,3,3,3,3,3,Non,18,Non,0,2,3,4,Transformation Digitale,Occasionnel,0,7,1.0
565,29,F,2546,Marié(e),Consulting,Assistant de Direction,5,6,2,2,3,2,1,2,2,4,3,Non,16,Oui,0,2,25,5,Entrepreunariat,Occasionnel,1,1,1.0
566,19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,1,1,0,1,2,1,4,3,4,3,Non,12,Oui,0,3,2,2,Entrepreunariat,Occasionnel,0,0,1.0
567,30,F,8412,Marié(e),Commercial,Cadre Commercial,0,10,9,8,3,3,3,1,3,3,3,Non,11,Non,0,3,22,4,Autre,Aucun,7,8,0.0
568,57,M,14118,Divorcé(e),Commercial,Senior Manager,3,32,1,0,1,2,4,4,3,2,3,Non,12,Non,1,3,29,3,Marketing,Occasionnel,0,0,1.0
569,50,M,17046,Marié(e),Consulting,Senior Manager,0,28,27,10,2,2,4,3,2,3,3,Non,15,Non,1,2,29,4,Infra & Cloud,Occasionnel,15,7,1.0
571,30,F,2564,Célibataire,Consulting,Consultant,0,12,11,7,3,3,1,4,3,2,3,Non,14,Non,0,2,2,3,Transformation Digitale,Aucun,6,7,0.0
573,60,F,10266,Marié(e),Commercial,Cadre Commercial,4,22,18,13,3,2,3,1,4,4,3,Non,19,Non,0,5,28,3,Marketing,Frequent,13,11,2.0
574,47,F,5070,Divorcé(e),Consulting,Tech Lead,5,20,5,0,1,3,2,4,3,3,3,Non,13,Non,3,2,2,2,Transformation Digitale,Occasionnel,0,4,1.0
575,46,M,17861,Marié(e),Consulting,Directeur Technique,6,26,3,2,1,3,4,3,3,1,3,Non,13,Non,0,2,2,3,Infra & Cloud,Occasionnel,0,1,1.0
577,35,M,4230,Célibataire,Consulting,Consultant,0,6,5,4,4,1,1,3,3,3,3,Non,15,Non,0,2,22,3,Infra & Cloud,Occasionnel,4,3,1.0
578,54,F,3780,Célibataire,Consulting,Consultant,7,19,1,0,3,3,2,3,3,3,3,Non,11,Non,0,3,8,4,Infra & Cloud,Occasionnel,0,0,1.0
579,34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,14,7,3,4,2,1,3,3,3,3,Non,12,Non,1,3,2,4,Infra & Cloud,Occasionnel,5,7,1.0
580,46,F,9071,Marié(e),Commercial,Cadre Commercial,2,15,3,2,3,2,3,4,3,3,3,Oui,19,Non,1,3,10,3,Marketing,Occasionnel,1,2,1.0
581,31,M,10648,Divorcé(e),Consulting,Tech Lead,1,13,13,8,3,3,3,2,4,4,4,Non,25,Non,1,6,9,1,Infra & Cloud,Occasionnel,0,8,1.0
582,33,M,13610,Marié(e),Consulting,Senior Manager,7,15,7,6,2,3,3,3,4,4,3,Oui,12,Oui,0,2,15,1,Transformation Digitale,Occasionnel,7,7,1.0
584,33,M,3408,Divorcé(e),Consulting,Consultant,7,8,4,3,1,1,1,4,1,3,3,Non,13,Oui,3,2,10,1,Transformation Digitale,Occasionnel,1,3,1.0
585,30,M,2983,Célibataire,Commercial,Représentant Commercial,0,4,3,2,4,3,1,2,1,3,3,Non,14,Non,0,3,7,1,Marketing,Occasionnel,1,2,1.0
586,35,M,7632,Marié(e),Consulting,Manager,4,10,8,7,4,3,3,3,3,3,3,Oui,12,Non,0,2,16,3,Infra & Cloud,Occasionnel,0,0,1.0
587,31,M,9824,Marié(e),Consulting,Manager,3,12,1,0,1,3,3,3,1,3,3,Non,12,Oui,0,2,20,3,Infra & Cloud,Frequent,0,0,2.0
590,34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,11,3,2,2,3,3,1,3,3,3,Oui,15,Oui,3,2,23,3,Ressources Humaines,Frequent,0,2,2.0
591,42,M,2093,Marié(e),Consulting,Consultant,4,8,2,2,2,3,1,3,4,3,3,Non,17,Non,1,4,5,2,Autre,Frequent,2,0,2.0
592,36,M,9980,Célibataire,Commercial,Cadre Commercial,1,10,10,3,2,3,3,4,4,2,3,Non,14,Non,0,3,10,4,Transformation Digitale,Aucun,9,7,0.0
593,22,M,3894,Célibataire,Consulting,Consultant,5,4,2,2,3,2,1,3,3,3,3,Non,16,Oui,0,3,4,1,Entrepreunariat,Frequent,1,2,2.0
595,48,F,4051,Marié(e),Commercial,Cadre Commercial,2,14,9,7,2,3,2,4,1,3,3,Non,14,Non,1,2,2,5,Marketing,Occasionnel,6,7,1.0
597,55,F,16835,Célibataire,Commercial,Senior Manager,3,37,10,9,1,3,4,2,4,3,4,Non,23,Non,0,2,18,5,Infra & Cloud,Occasionnel,7,7,1.0
599,41,M,6230,Célibataire,Commercial,Cadre Commercial,7,16,14,3,4,3,2,4,4,3,3,Non,14,Non,0,3,10,2,Infra & Cloud,Aucun,1,10,0.0
600,35,M,4717,Marié(e),Commercial,Cadre Commercial,9,15,11,9,2,3,2,3,3,3,3,Non,11,Non,0,2,1,3,Marketing,Occasionnel,6,9,1.0
601,40,F,13237,Célibataire,Consulting,Tech Lead,7,22,20,6,2,3,4,3,3,3,3,Non,15,Non,0,3,6,3,Infra & Cloud,Occasionnel,5,13,1.0
602,39,F,3755,Marié(e),Consulting,Consultant,1,8,8,3,3,3,1,3,1,3,3,Non,11,Non,1,3,8,1,Infra & Cloud,Frequent,0,7,2.0
604,31,M,6582,Célibataire,Commercial,Cadre Commercial,4,10,6,5,2,3,2,4,3,4,3,Oui,13,Non,0,2,2,1,Infra & Cloud,Occasionnel,0,5,1.0
605,42,M,7406,Marié(e),Consulting,Tech Lead,1,10,10,9,4,3,3,1,4,2,4,Oui,21,Non,1,5,24,3,Transformation Digitale,Occasionnel,5,8,1.0
606,45,M,4805,Marié(e),Commercial,Cadre Commercial,0,9,8,7,4,3,2,2,2,4,3,Non,19,Non,1,3,2,3,Autre,Occasionnel,3,7,1.0
608,26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,8,7,7,2,3,1,3,2,2,3,Oui,11,Oui,1,2,17,4,Infra & Cloud,Frequent,1,0,2.0
611,29,M,4262,Divorcé(e),Consulting,Tech Lead,4,8,3,2,4,3,2,4,2,4,3,Non,12,Non,2,2,19,3,Entrepreunariat,Occasionnel,1,2,1.0
612,33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,10,6,1,1,4,4,3,3,3,3,Non,19,Non,1,2,1,5,Transformation Digitale,Occasionnel,0,5,1.0
613,31,M,11557,Divorcé(e),Commercial,Senior Manager,9,10,5,4,3,2,3,4,3,2,4,Non,21,Non,1,3,7,3,Infra & Cloud,Occasionnel,0,1,1.0
614,18,M,1878,Célibataire,Commercial,Représentant Commercial,1,0,0,0,2,3,1,2,4,3,3,Oui,14,Oui,0,3,5,3,Marketing,Frequent,0,0,2.0
615,40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,20,1,0,3,1,3,1,3,3,3,Non,15,Non,1,2,28,3,Autre,Aucun,0,1,0.0
616,41,F,6811,Célibataire,Consulting,Manager,2,10,8,7,1,2,2,3,1,3,3,Oui,17,Non,0,3,2,4,Autre,Aucun,0,7,0.0
618,26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,8,0,0,1,3,2,3,1,3,3,Non,12,Non,2,5,29,2,Transformation Digitale,Occasionnel,0,0,1.0
620,35,F,4859,Célibataire,Commercial,Cadre Commercial,1,5,5,4,1,3,2,3,4,3,3,Non,16,Non,0,3,1,3,Transformation Digitale,Occasionnel,0,3,1.0
621,34,M,5337,Célibataire,Commercial,Cadre Commercial,1,10,10,7,4,4,2,4,4,3,3,Non,12,Non,0,3,21,4,Infra & Cloud,Occasionnel,5,7,1.0
622,26,M,2340,Célibataire,Consulting,Consultant,1,1,1,0,3,1,1,4,2,1,3,Oui,18,Oui,0,3,24,3,Entrepreunariat,Occasionnel,0,0,1.0
623,37,F,7491,Célibataire,Consulting,Tech Lead,4,12,6,5,2,3,3,4,4,4,3,Non,17,Non,0,3,1,3,Entrepreunariat,Occasionnel,1,2,1.0
624,46,F,10527,Marié(e),Consulting,Manager,5,28,2,2,1,3,3,3,4,2,3,Non,11,Non,0,3,18,1,Transformation Digitale,Frequent,1,2,2.0
625,41,F,16595,Marié(e),Commercial,Senior Manager,7,22,18,16,2,3,4,1,2,3,3,Non,16,Non,1,2,2,5,Infra & Cloud,Occasionnel,11,8,1.0
626,37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,9,9,5,1,3,3,2,4,3,3,Non,13,Non,1,6,9,4,Transformation Digitale,Aucun,7,7,0.0
630,52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,18,10,9,4,3,2,1,2,3,3,Oui,12,Non,2,3,6,2,Entrepreunariat,Occasionnel,6,9,1.0
631,32,M,4707,Marié(e),Commercial,Cadre Commercial,8,6,4,2,4,4,2,3,4,3,3,Non,12,Oui,0,2,11,4,Autre,Aucun,1,2,0.0
632,24,M,2400,Marié(e),Commercial,Représentant Commercial,0,3,2,2,4,3,1,4,3,3,3,Non,13,Non,2,3,24,3,Transformation Digitale,Frequent,2,1,2.0
634,38,F,9824,Marié(e),Consulting,Manager,3,18,1,0,3,3,2,3,3,3,3,Non,19,Non,1,4,10,3,Transformation Digitale,Occasionnel,0,0,1.0
635,37,F,6447,Marié(e),Consulting,Tech Lead,6,8,6,5,2,3,2,2,2,2,3,Non,12,Non,1,2,1,4,Infra & Cloud,Occasionnel,4,3,1.0
638,49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,31,31,9,4,2,5,3,3,3,3,Oui,17,Non,1,5,18,4,Infra & Cloud,Occasionnel,0,9,1.0
639,24,M,2725,Marié(e),Consulting,Assistant de Direction,1,6,6,5,2,4,1,4,2,3,3,Oui,11,Non,2,3,23,3,Transformation Digitale,Occasionnel,1,4,1.0
641,26,M,6272,Marié(e),Commercial,Cadre Commercial,1,6,5,3,1,3,2,2,4,4,4,Non,20,Non,2,5,28,2,Marketing,Occasionnel,1,4,1.0
643,24,M,2127,Marié(e),Consulting,Consultant,1,1,1,0,4,2,1,2,4,3,4,Non,21,Non,1,2,17,2,Autre,Occasionnel,0,0,1.0
644,50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,32,32,5,1,3,5,2,3,3,3,Non,11,Non,1,2,3,3,Transformation Digitale,Frequent,10,7,2.0
645,25,M,2096,Marié(e),Commercial,Représentant Commercial,1,7,7,4,2,3,1,3,3,3,3,Non,11,Non,0,1,13,1,Transformation Digitale,Occasionnel,0,6,1.0
647,24,F,2886,Marié(e),Consulting,Consultant,1,6,6,3,1,3,1,3,4,3,3,Oui,16,Oui,1,4,7,3,Infra & Cloud,Frequent,1,2,2.0
648,30,M,2033,Marié(e),Commercial,Représentant Commercial,1,1,1,0,2,2,1,1,3,4,3,Non,18,Oui,1,2,12,4,Infra & Cloud,Frequent,0,0,2.0
649,34,M,3622,Marié(e),Consulting,Assistant de Direction,1,6,6,5,2,2,1,4,4,3,3,Oui,13,Non,1,3,1,2,Infra & Cloud,Occasionnel,1,3,1.0
650,31,M,4233,Divorcé(e),Commercial,Cadre Commercial,2,9,3,1,2,3,2,1,3,1,3,Non,17,Oui,0,2,13,4,Transformation Digitale,Occasionnel,1,2,1.0
652,35,M,3681,Célibataire,Consulting,Consultant,4,9,3,2,1,2,2,4,4,3,3,Non,14,Non,0,3,25,2,Autre,Occasionnel,0,2,1.0
653,31,M,5460,Divorcé(e),Commercial,Cadre Commercial,4,13,7,7,1,4,2,4,4,4,4,Non,22,Non,2,4,6,4,Transformation Digitale,Occasionnel,5,7,1.0
655,27,F,2187,Divorcé(e),Consulting,Assistant de Direction,0,6,5,3,1,2,1,3,3,2,3,Non,12,Non,2,5,6,4,Transformation Digitale,Occasionnel,0,3,1.0
656,37,M,9602,Marié(e),Commercial,Cadre Commercial,4,17,3,0,4,3,2,3,3,2,3,Oui,11,Non,1,3,2,3,Marketing,Occasionnel,1,0,1.0
657,20,F,2836,Célibataire,Consulting,Assistant de Direction,1,1,1,0,4,2,1,2,4,4,3,Non,13,Non,0,0,1,3,Infra & Cloud,Occasionnel,0,0,1.0
659,42,F,4089,Marié(e),Consulting,Manager,1,10,10,2,3,3,2,4,2,3,3,Non,13,Non,2,4,2,4,Infra & Cloud,Occasionnel,2,2,1.0
661,43,M,16627,Divorcé(e),Consulting,Directeur Technique,4,21,1,0,2,2,4,4,3,2,3,Oui,14,Non,1,3,6,4,Autre,Occasionnel,0,0,1.0
662,38,F,2619,Célibataire,Consulting,Assistant de Direction,3,8,0,0,3,3,1,1,4,2,3,Non,17,Non,0,3,1,1,Infra & Cloud,Occasionnel,0,0,1.0
663,43,M,5679,Divorcé(e),Consulting,Consultant,3,10,8,7,4,3,2,3,2,3,3,Oui,13,Non,1,3,9,5,Transformation Digitale,Frequent,4,7,2.0
664,48,F,15402,Marié(e),Consulting,Senior Manager,7,21,3,2,4,2,4,1,1,1,3,Non,11,Non,1,3,1,4,Infra & Cloud,Occasionnel,0,2,1.0
665,44,F,5985,Célibataire,Ressources Humaines,Ressources Humaines,4,10,2,2,1,2,2,3,2,4,3,Non,11,Non,0,1,1,4,Infra & Cloud,Occasionnel,0,2,1.0
666,34,F,2579,Divorcé(e),Commercial,Représentant Commercial,1,8,8,2,3,3,1,3,4,3,3,Oui,18,Non,2,3,14,3,Entrepreunariat,Occasionnel,0,6,1.0
667,27,M,3041,Divorcé(e),Commercial,Représentant Commercial,0,5,4,3,3,3,1,1,2,3,3,Non,11,Oui,1,3,2,1,Marketing,Occasionnel,0,2,1.0
669,21,M,3447,Célibataire,Commercial,Représentant Commercial,1,3,3,2,3,3,1,3,3,3,3,Non,11,Non,0,2,22,1,Entrepreunariat,Occasionnel,1,2,1.0
671,44,M,19513,Marié(e),Consulting,Senior Manager,4,26,2,2,4,3,5,4,1,4,3,Oui,12,Non,1,2,3,4,Autre,Occasionnel,0,1,1.0
675,22,M,2773,Marié(e),Consulting,Assistant de Direction,0,3,2,2,1,3,1,3,4,3,4,Non,20,Non,0,3,6,1,Transformation Digitale,Occasionnel,2,2,1.0
677,33,M,7104,Divorcé(e),Commercial,Cadre Commercial,0,6,5,0,3,3,2,3,4,3,3,Non,12,Non,0,3,8,4,Marketing,Occasionnel,1,2,1.0
679,32,F,6322,Marié(e),Consulting,Assistant de Direction,1,6,6,4,1,3,2,4,4,2,3,Oui,12,Non,1,2,9,4,Infra & Cloud,Occasionnel,0,5,1.0
680,30,F,2083,Divorcé(e),Consulting,Assistant de Direction,1,1,1,0,3,3,1,3,3,3,4,Non,20,Non,1,2,3,3,Transformation Digitale,Frequent,0,0,2.0
682,53,F,8381,Célibataire,Commercial,Cadre Commercial,7,18,14,7,4,3,2,1,4,4,4,Non,20,Non,0,2,1,1,Transformation Digitale,Occasionnel,8,10,1.0
683,34,M,2691,Marié(e),Consulting,Assistant de Direction,1,10,10,9,2,3,1,4,4,2,3,Non,12,Non,1,4,1,5,Infra & Cloud,Occasionnel,8,8,1.0
